id;shopify_order_id;shopify_tracking_number;shopify_authorization_key;shopify_shipping_status;carrier;status;created_at;updated_at
1;37454;Directives application Home Loan Account;Dam;Practical Fresh Pants;Metal deposit;5641;2019-08-15T05:41:08;2019-08-15T11:38:07
2;83244;red Chips Soap;Home Loan Account;web-readiness;Namibia;39986;2019-08-16T01:36:55;2019-08-16T03:50:35
3;29214;24/7 Common bluetooth;syndicate;Mississippi Refined Rubber Chicken Table;Automotive;94220;2019-08-15T05:47:17;2019-08-15T15:26:39
4;80839;access Intelligent;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;20794;2019-08-15T15:50:32;2019-08-15T15:20:18
5;18485;Facilitator;Views e-enable Communications;National Awesome sky blue;Tactics;84453;2019-08-15T19:38:06;2019-08-15T11:01:39
6;27134;generating compelling;Home Loan Account;Plastic;Car Industrial deliverables;39488;2019-08-16T00:11:38;2019-08-15T21:55:10
7;552;overriding;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;37081;2019-08-15T21:29:58;2019-08-15T12:54:40
8;32518;pixel withdrawal;Mississippi embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;43933;2019-08-16T02:22:25;2019-08-16T00:07:19
9;3142;withdrawal knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;User-centric;Money Market Account;69478;2019-08-16T01:05:38;2019-08-15T07:49:55
10;92969;virtual deposit;Squares mint green e-business;Ghana back-end National;Direct;27213;2019-08-15T23:29:34;2019-08-15T13:25:07
